id;ccaa
1;Comunidad Autónoma de Andalucía 
2;Comunidad Autónoma de Aragón
3;Comunidad Autónoma del Principado de Asturias 
4;Comunitat Autònoma de les Illes Balears 
5;Comunidad Autónoma de Canarias 
6;Comunidad Autónoma de Cantabria
7;Comunidad Autónoma de Castilla y León 
8;Comunidad Autónoma de Castilla-La Mancha 
9;Catalunya
10;Comunitat Valenciana
11;Comunidad Autónoma de Extremadura 
12;Comunidade Autónoma de Galicia
13;Comunidad Autónoma de Madrid
14;Comunidad Autónoma de la Región de Murcia 
15;Nafarroa 
16;Euskal Herria 
17;Comunidad Autónoma de La Rioja 
18;Ciudad Autónoma de Ceuta 
19;Ciudad Autónoma de Melilla 
